,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Conference,year
0,Boston Celtics*,66,16,0.805,—,100.5,90.3,9.3,,Boston Celtics*,2008
1,Toronto Raptors*,41,41,0.5,25.0,100.2,97.3,2.47,,Toronto Raptors*,2008
2,Philadelphia 76ers*,40,42,0.488,26.0,96.6,96.2,0.19,,Philadelphia 76ers*,2008
3,New Jersey Nets,34,48,0.415,32.0,95.8,100.9,-5.15,,New Jersey Nets,2008
4,New York Knicks,23,59,0.28,43.0,96.9,103.5,-6.55,,New York Knicks,2008
5,Detroit Pistons*,59,23,0.72,—,97.5,90.1,6.67,,Detroit Pistons*,2008
6,Cleveland Cavaliers*,45,37,0.549,14.0,96.4,96.7,-0.53,,Cleveland Cavaliers*,2008
7,Indiana Pacers,36,46,0.439,23.0,104.0,105.4,-1.87,,Indiana Pacers,2008
8,Chicago Bulls,33,49,0.402,26.0,97.3,100.4,-3.19,,Chicago Bulls,2008
9,Milwaukee Bucks,26,56,0.317,33.0,97.0,103.9,-6.92,,Milwaukee Bucks,2008
10,Orlando Magic*,52,30,0.634,—,104.5,99.0,4.79,,Orlando Magic*,2008
11,Washington Wizards*,43,39,0.524,9.0,98.8,99.2,-0.61,,Washington Wizards*,2008
12,Atlanta Hawks*,37,45,0.451,15.0,98.2,100.0,-2.23,,Atlanta Hawks*,2008
13,Charlotte Bobcats,32,50,0.39,20.0,97.1,101.4,-4.49,,Charlotte Bobcats,2008
14,Miami Heat,15,67,0.183,37.0,91.4,100.0,-8.53,,Miami Heat,2008
0,,54,28,0.659,—,106.2,99.3,6.86,Utah Jazz*,Utah Jazz*,2008
1,,50,32,0.61,4.0,110.7,107.0,3.74,Denver Nuggets*,Denver Nuggets*,2008
2,,41,41,0.5,13.0,95.4,96.3,-0.52,Portland Trail Blazers,Portland Trail Blazers,2008
3,,22,60,0.268,32.0,95.6,102.4,-6.26,Minnesota Timberwolves,Minnesota Timberwolves,2008
4,,20,62,0.244,34.0,97.5,106.3,-8.04,Seattle SuperSonics,Seattle SuperSonics,2008
5,,57,25,0.695,—,108.6,101.3,7.34,Los Angeles Lakers*,Los Angeles Lakers*,2008
6,,55,27,0.671,2.0,110.1,105.0,5.14,Phoenix Suns*,Phoenix Suns*,2008
7,,48,34,0.585,9.0,111.0,108.8,2.38,Golden State Warriors,Golden State Warriors,2008
8,,38,44,0.463,19.0,102.5,104.8,-1.86,Sacramento Kings,Sacramento Kings,2008
9,,23,59,0.28,34.0,93.8,101.1,-6.56,Los Angeles Clippers,Los Angeles Clippers,2008
10,,56,26,0.683,—,100.9,95.6,5.46,New Orleans Hornets*,New Orleans Hornets*,2008
11,,56,26,0.683,—,95.4,90.6,5.1,San Antonio Spurs*,San Antonio Spurs*,2008
12,,55,27,0.671,1.0,96.7,92.0,4.83,Houston Rockets*,Houston Rockets*,2008
13,,51,31,0.622,5.0,100.4,95.9,4.7,Dallas Mavericks*,Dallas Mavericks*,2008
14,,22,60,0.268,34.0,100.7,106.9,-5.76,Memphis Grizzlies,Memphis Grizzlies,2008
0,Boston Celtics*,62,20,0.756,—,100.9,93.4,7.44,,Boston Celtics*,2009
1,Philadelphia 76ers*,41,41,0.5,21.0,97.4,97.3,0.16,,Philadelphia 76ers*,2009
2,New Jersey Nets,34,48,0.415,28.0,98.1,100.5,-2.31,,New Jersey Nets,2009
3,Toronto Raptors,33,49,0.402,29.0,99.0,101.9,-2.54,,Toronto Raptors,2009
4,New York Knicks,32,50,0.39,30.0,105.2,107.8,-2.33,,New York Knicks,2009
5,Cleveland Cavaliers*,66,16,0.805,—,100.3,91.4,8.68,,Cleveland Cavaliers*,2009
6,Chicago Bulls*,41,41,0.5,25.0,102.2,102.5,-0.16,,Chicago Bulls*,2009
7,Detroit Pistons*,39,43,0.476,27.0,94.2,94.7,-0.36,,Detroit Pistons*,2009
8,Indiana Pacers,36,46,0.439,30.0,105.1,106.2,-0.76,,Indiana Pacers,2009
9,Milwaukee Bucks,34,48,0.415,32.0,99.3,100.4,-0.88,,Milwaukee Bucks,2009
10,Orlando Magic*,59,23,0.72,—,101.0,94.4,6.48,,Orlando Magic*,2009
11,Atlanta Hawks*,47,35,0.573,12.0,98.1,96.5,1.7,,Atlanta Hawks*,2009
12,Miami Heat*,43,39,0.524,16.0,98.3,98.0,0.49,,Miami Heat*,2009
13,Charlotte Bobcats,35,47,0.427,24.0,93.6,94.9,-1.2,,Charlotte Bobcats,2009
14,Washington Wizards,19,63,0.232,40.0,96.1,103.5,-6.98,,Washington Wizards,2009
0,,54,28,0.659,—,104.3,100.9,3.13,Denver Nuggets*,Denver Nuggets*,2009
1,,54,28,0.659,—,99.4,94.1,5.0,Portland Trail Blazers*,Portland Trail Blazers*,2009
2,,48,34,0.585,6.0,103.6,100.9,2.31,Utah Jazz*,Utah Jazz*,2009
3,,24,58,0.293,30.0,97.8,102.7,-4.74,Minnesota Timberwolves,Minnesota Timberwolves,2009
4,,23,59,0.28,31.0,97.0,103.1,-6.04,Oklahoma City Thunder,Oklahoma City Thunder,2009
5,,65,17,0.793,—,106.9,99.3,7.11,Los Angeles Lakers*,Los Angeles Lakers*,2009
6,,46,36,0.561,19.0,109.4,107.5,1.62,Phoenix Suns,Phoenix Suns,2009
7,,29,53,0.354,36.0,108.6,112.3,-3.8,Golden State Warriors,Golden State Warriors,2009
8,,19,63,0.232,46.0,95.1,103.9,-8.47,Los Angeles Clippers,Los Angeles Clippers,2009
9,,17,65,0.207,48.0,100.6,109.3,-8.6,Sacramento Kings,Sacramento Kings,2009
10,,54,28,0.659,—,97.0,93.3,3.36,San Antonio Spurs*,San Antonio Spurs*,2009
11,,53,29,0.646,1.0,98.4,94.4,3.73,Houston Rockets*,Houston Rockets*,2009
12,,50,32,0.61,4.0,101.7,99.8,1.68,Dallas Mavericks*,Dallas Mavericks*,2009
13,,49,33,0.598,5.0,95.8,94.3,1.41,New Orleans Hornets*,New Orleans Hornets*,2009
14,,24,58,0.293,30.0,93.9,99.3,-5.23,Memphis Grizzlies,Memphis Grizzlies,2009
0,Boston Celtics*,50,32,0.61,—,99.2,95.6,3.37,,Boston Celtics*,2010
1,Toronto Raptors,40,42,0.488,10.0,104.1,105.9,-1.83,,Toronto Raptors,2010
2,New York Knicks,29,53,0.354,21.0,102.1,105.9,-4.01,,New York Knicks,2010
3,Philadelphia 76ers,27,55,0.329,23.0,97.7,101.6,-3.93,,Philadelphia 76ers,2010
4,New Jersey Nets,12,70,0.146,38.0,92.4,101.5,-8.93,,New Jersey Nets,2010
5,Cleveland Cavaliers*,61,21,0.744,—,102.1,95.6,6.17,,Cleveland Cavaliers*,2010
6,Milwaukee Bucks*,46,36,0.561,15.0,97.7,96.0,1.37,,Milwaukee Bucks*,2010
7,Chicago Bulls*,41,41,0.5,20.0,97.5,99.1,-1.64,,Chicago Bulls*,2010
8,Indiana Pacers,32,50,0.39,29.0,100.8,103.8,-3.11,,Indiana Pacers,2010
9,Detroit Pistons,27,55,0.329,34.0,94.0,99.1,-5.02,,Detroit Pistons,2010
10,Orlando Magic*,59,23,0.72,—,102.8,95.3,7.12,,Orlando Magic*,2010
11,Atlanta Hawks*,53,29,0.646,6.0,101.7,97.0,4.44,,Atlanta Hawks*,2010
12,Miami Heat*,47,35,0.573,12.0,96.5,94.2,1.99,,Miami Heat*,2010
13,Charlotte Bobcats*,44,38,0.537,15.0,95.3,93.8,1.3,,Charlotte Bobcats*,2010
14,Washington Wizards,26,56,0.317,33.0,96.2,101.0,-4.72,,Washington Wizards,2010
0,,53,29,0.646,—,106.5,102.4,4.15,Denver Nuggets*,Denver Nuggets*,2010
1,,53,29,0.646,—,104.2,98.9,5.33,Utah Jazz*,Utah Jazz*,2010
2,,50,32,0.61,3.0,98.1,94.8,3.18,Portland Trail Blazers*,Portland Trail Blazers*,2010
3,,50,32,0.61,3.0,101.5,98.0,3.55,Oklahoma City Thunder*,Oklahoma City Thunder*,2010
4,,15,67,0.183,38.0,98.2,107.8,-9.06,Minnesota Timberwolves,Minnesota Timberwolves,2010
5,,57,25,0.695,—,101.7,97.0,4.78,Los Angeles Lakers*,Los Angeles Lakers*,2010
6,,54,28,0.659,3.0,110.2,105.3,4.67,Phoenix Suns*,Phoenix Suns*,2010
7,,29,53,0.354,28.0,95.7,102.1,-6.01,Los Angeles Clippers,Los Angeles Clippers,2010
8,,26,56,0.317,31.0,108.8,112.4,-3.28,Golden State Warriors,Golden State Warriors,2010
9,,25,57,0.305,32.0,100.0,104.4,-4.06,Sacramento Kings,Sacramento Kings,2010
10,,55,27,0.671,—,102.0,99.3,2.66,Dallas Mavericks*,Dallas Mavericks*,2010
11,,50,32,0.61,5.0,101.4,96.3,5.07,San Antonio Spurs*,San Antonio Spurs*,2010
12,,42,40,0.512,13.0,102.4,102.7,-0.02,Houston Rockets,Houston Rockets,2010
13,,40,42,0.488,15.0,102.5,104.0,-1.39,Memphis Grizzlies,Memphis Grizzlies,2010
14,,37,45,0.451,18.0,100.2,102.7,-2.27,New Orleans Hornets,New Orleans Hornets,2010
0,Boston Celtics*,56,26,0.683,—,96.5,91.1,4.83,,Boston Celtics*,2011
1,New York Knicks*,42,40,0.512,14.0,106.5,105.7,0.48,,New York Knicks*,2011
2,Philadelphia 76ers*,41,41,0.5,15.0,99.0,97.5,1.01,,Philadelphia 76ers*,2011
3,New Jersey Nets,24,58,0.293,32.0,94.2,100.4,-6.28,,New Jersey Nets,2011
4,Toronto Raptors,22,60,0.268,34.0,99.1,105.4,-6.28,,Toronto Raptors,2011
5,Chicago Bulls*,62,20,0.756,—,98.6,91.3,6.53,,Chicago Bulls*,2011
6,Indiana Pacers*,37,45,0.451,25.0,99.8,100.9,-1.38,,Indiana Pacers*,2011
7,Milwaukee Bucks,35,47,0.427,27.0,91.9,92.7,-1.02,,Milwaukee Bucks,2011
8,Detroit Pistons,30,52,0.366,32.0,97.0,100.6,-3.78,,Detroit Pistons,2011
9,Cleveland Cavaliers,19,63,0.232,43.0,95.5,104.5,-8.88,,Cleveland Cavaliers,2011
10,Miami Heat*,58,24,0.707,—,102.1,94.6,6.76,,Miami Heat*,2011
11,Orlando Magic*,52,30,0.634,6.0,99.2,93.7,4.92,,Orlando Magic*,2011
12,Atlanta Hawks*,44,38,0.537,14.0,95.0,95.8,-1.1,,Atlanta Hawks*,2011
13,Charlotte Bobcats,34,48,0.415,24.0,93.3,97.3,-4.08,,Charlotte Bobcats,2011
14,Washington Wizards,23,59,0.28,35.0,97.3,104.7,-7.3,,Washington Wizards,2011
0,,55,27,0.671,—,104.8,101.0,3.81,Oklahoma City Thunder*,Oklahoma City Thunder*,2011
1,,50,32,0.61,5.0,107.5,102.7,4.81,Denver Nuggets*,Denver Nuggets*,2011
2,,48,34,0.585,7.0,96.3,94.8,1.85,Portland Trail Blazers*,Portland Trail Blazers*,2011
3,,39,43,0.476,16.0,99.4,101.3,-1.44,Utah Jazz,Utah Jazz,2011
4,,17,65,0.207,38.0,101.1,107.7,-5.97,Minnesota Timberwolves,Minnesota Timberwolves,2011
5,,57,25,0.695,—,101.5,95.4,6.01,Los Angeles Lakers*,Los Angeles Lakers*,2011
6,,40,42,0.488,17.0,105.0,105.9,-0.46,Phoenix Suns,Phoenix Suns,2011
7,,36,46,0.439,21.0,103.4,105.7,-2.0,Golden State Warriors,Golden State Warriors,2011
8,,32,50,0.39,25.0,98.6,101.8,-2.71,Los Angeles Clippers,Los Angeles Clippers,2011
9,,24,58,0.293,33.0,99.4,104.7,-4.8,Sacramento Kings,Sacramento Kings,2011
10,,61,21,0.744,—,103.7,98.0,5.86,San Antonio Spurs*,San Antonio Spurs*,2011
11,,57,25,0.695,4.0,100.2,96.0,4.41,Dallas Mavericks*,Dallas Mavericks*,2011
12,,46,36,0.561,15.0,94.9,94.0,1.28,New Orleans Hornets*,New Orleans Hornets*,2011
13,,46,36,0.561,15.0,99.9,97.6,2.55,Memphis Grizzlies*,Memphis Grizzlies*,2011
14,,43,39,0.524,18.0,105.9,103.7,2.37,Houston Rockets,Houston Rockets,2011
0,Boston Celtics*,39,27,0.591,—,91.8,89.3,2.26,,Boston Celtics*,2012
1,New York Knicks*,36,30,0.545,3.0,97.8,94.7,2.39,,New York Knicks*,2012
2,Philadelphia 76ers*,35,31,0.53,4.0,93.6,89.4,3.59,,Philadelphia 76ers*,2012
3,Toronto Raptors,23,43,0.348,16.0,90.7,94.0,-3.67,,Toronto Raptors,2012
4,New Jersey Nets,22,44,0.333,17.0,93.1,99.1,-6.37,,New Jersey Nets,2012
5,Chicago Bulls*,50,16,0.758,—,96.3,88.2,7.43,,Chicago Bulls*,2012
6,Indiana Pacers*,42,24,0.636,8.0,97.7,94.4,2.6,,Indiana Pacers*,2012
7,Milwaukee Bucks,31,35,0.47,19.0,99.0,98.7,-0.23,,Milwaukee Bucks,2012
8,Detroit Pistons,25,41,0.379,25.0,90.9,95.7,-5.19,,Detroit Pistons,2012
9,Cleveland Cavaliers,21,45,0.318,29.0,93.0,100.2,-7.34,,Cleveland Cavaliers,2012
10,Miami Heat*,46,20,0.697,—,98.5,92.5,5.72,,Miami Heat*,2012
11,Atlanta Hawks*,40,26,0.606,6.0,96.6,93.2,2.67,,Atlanta Hawks*,2012
12,Orlando Magic*,37,29,0.561,9.0,94.2,93.4,0.46,,Orlando Magic*,2012
13,Washington Wizards,20,46,0.303,26.0,93.6,98.4,-5.14,,Washington Wizards,2012
14,Charlotte Bobcats,7,59,0.106,39.0,87.0,100.9,-13.96,,Charlotte Bobcats,2012
0,,47,19,0.712,—,103.1,96.9,6.44,Oklahoma City Thunder*,Oklahoma City Thunder*,2012
1,,38,28,0.576,9.0,104.1,101.2,3.16,Denver Nuggets*,Denver Nuggets*,2012
2,,36,30,0.545,11.0,99.7,99.0,0.92,Utah Jazz*,Utah Jazz*,2012
3,,28,38,0.424,19.0,97.2,97.8,-0.22,Portland Trail Blazers,Portland Trail Blazers,2012
4,,26,40,0.394,21.0,97.9,100.1,-1.83,Minnesota Timberwolves,Minnesota Timberwolves,2012
5,,41,25,0.621,—,97.3,95.9,1.96,Los Angeles Lakers*,Los Angeles Lakers*,2012
6,,40,26,0.606,1.0,97.5,95.0,2.82,Los Angeles Clippers*,Los Angeles Clippers*,2012
7,,33,33,0.5,8.0,98.4,98.6,0.29,Phoenix Suns,Phoenix Suns,2012
8,,23,43,0.348,18.0,97.8,101.2,-2.79,Golden State Warriors,Golden State Warriors,2012
9,,22,44,0.333,19.0,98.8,104.4,-4.95,Sacramento Kings,Sacramento Kings,2012
10,,50,16,0.758,—,103.7,96.5,7.28,San Antonio Spurs*,San Antonio Spurs*,2012
11,,41,25,0.621,9.0,95.0,93.0,2.43,Memphis Grizzlies*,Memphis Grizzlies*,2012
12,,36,30,0.545,14.0,95.8,94.8,1.78,Dallas Mavericks*,Dallas Mavericks*,2012
13,,34,32,0.515,16.0,98.1,97.9,0.57,Houston Rockets,Houston Rockets,2012
14,,21,45,0.318,29.0,89.6,93.4,-3.11,New Orleans Hornets,New Orleans Hornets,2012
0,New York Knicks*,54,28,0.659,—,100.0,95.7,3.73,,New York Knicks*,2013
1,Brooklyn Nets*,49,33,0.598,5.0,96.9,95.1,1.25,,Brooklyn Nets*,2013
2,Boston Celtics*,41,40,0.506,12.5,96.5,96.7,-0.62,,Boston Celtics*,2013
3,Philadelphia 76ers,34,48,0.415,20.0,93.2,96.5,-3.51,,Philadelphia 76ers,2013
4,Toronto Raptors,34,48,0.415,20.0,97.2,98.7,-1.96,,Toronto Raptors,2013
5,Indiana Pacers*,49,32,0.605,—,94.7,90.7,3.34,,Indiana Pacers*,2013
6,Chicago Bulls*,45,37,0.549,4.5,93.2,92.9,-0.02,,Chicago Bulls*,2013
7,Milwaukee Bucks*,38,44,0.463,11.5,98.9,100.4,-1.83,,Milwaukee Bucks*,2013
8,Detroit Pistons,29,53,0.354,20.5,94.9,98.8,-4.33,,Detroit Pistons,2013
9,Cleveland Cavaliers,24,58,0.293,25.5,96.5,101.2,-4.87,,Cleveland Cavaliers,2013
10,Miami Heat*,66,16,0.805,—,102.9,95.0,7.03,,Miami Heat*,2013
11,Atlanta Hawks*,44,38,0.537,22.0,98.0,97.5,-0.08,,Atlanta Hawks*,2013
12,Washington Wizards,29,53,0.354,37.0,93.2,95.8,-2.78,,Washington Wizards,2013
13,Charlotte Bobcats,21,61,0.256,45.0,93.4,102.7,-9.29,,Charlotte Bobcats,2013
14,Orlando Magic,20,62,0.244,46.0,94.1,101.1,-7.12,,Orlando Magic,2013
0,,60,22,0.732,—,105.7,96.5,9.15,Oklahoma City Thunder*,Oklahoma City Thunder*,2013
1,,57,25,0.695,3.0,106.1,101.1,5.37,Denver Nuggets*,Denver Nuggets*,2013
2,,43,39,0.524,17.0,98.0,98.1,0.3,Utah Jazz,Utah Jazz,2013
3,,33,49,0.402,27.0,97.5,100.7,-2.53,Portland Trail Blazers,Portland Trail Blazers,2013
4,,31,51,0.378,29.0,95.7,98.1,-1.83,Minnesota Timberwolves,Minnesota Timberwolves,2013
5,,56,26,0.683,—,101.1,94.6,6.43,Los Angeles Clippers*,Los Angeles Clippers*,2013
6,,47,35,0.573,9.0,101.2,100.3,1.32,Golden State Warriors*,Golden State Warriors*,2013
7,,45,37,0.549,11.0,102.2,101.0,1.48,Los Angeles Lakers*,Los Angeles Lakers*,2013
8,,28,54,0.341,28.0,100.2,105.1,-4.26,Sacramento Kings,Sacramento Kings,2013
9,,25,57,0.305,31.0,95.2,101.6,-5.75,Phoenix Suns,Phoenix Suns,2013
10,,58,24,0.707,—,103.0,96.6,6.67,San Antonio Spurs*,San Antonio Spurs*,2013
11,,56,26,0.683,2.0,93.4,89.3,4.32,Memphis Grizzlies*,Memphis Grizzlies*,2013
12,,45,37,0.549,13.0,106.0,102.5,3.69,Houston Rockets*,Houston Rockets*,2013
13,,41,41,0.5,17.0,101.1,101.7,-0.24,Dallas Mavericks,Dallas Mavericks,2013
14,,27,55,0.329,31.0,94.1,97.9,-3.12,New Orleans Hornets,New Orleans Hornets,2013
0,Toronto Raptors*,48,34,0.585,—,101.3,98.0,2.55,,Toronto Raptors*,2014
1,Brooklyn Nets*,44,38,0.537,4.0,98.5,99.5,-1.58,,Brooklyn Nets*,2014
2,New York Knicks,37,45,0.451,11.0,98.6,99.4,-1.4,,New York Knicks,2014
3,Boston Celtics,25,57,0.305,23.0,96.2,100.7,-4.97,,Boston Celtics,2014
4,Philadelphia 76ers,19,63,0.232,29.0,99.5,109.9,-10.66,,Philadelphia 76ers,2014
5,Indiana Pacers*,56,26,0.683,—,96.7,92.3,3.63,,Indiana Pacers*,2014
6,Chicago Bulls*,48,34,0.585,8.0,93.7,91.8,1.2,,Chicago Bulls*,2014
7,Cleveland Cavaliers,33,49,0.402,23.0,98.2,101.5,-3.86,,Cleveland Cavaliers,2014
8,Detroit Pistons,29,53,0.354,27.0,101.0,104.7,-4.13,,Detroit Pistons,2014
9,Milwaukee Bucks,15,67,0.183,41.0,95.5,103.7,-8.41,,Milwaukee Bucks,2014
10,Miami Heat*,54,28,0.659,—,102.2,97.4,4.15,,Miami Heat*,2014
11,Washington Wizards*,44,38,0.537,10.0,100.7,99.4,0.48,,Washington Wizards*,2014
12,Charlotte Bobcats*,43,39,0.524,11.0,96.9,97.1,-0.89,,Charlotte Bobcats*,2014
13,Atlanta Hawks*,38,44,0.463,16.0,101.0,101.5,-0.88,,Atlanta Hawks*,2014
14,Orlando Magic,23,59,0.28,31.0,96.5,102.0,-5.88,,Orlando Magic,2014
0,,59,23,0.72,—,106.2,99.8,6.66,Oklahoma City Thunder*,Oklahoma City Thunder*,2014
1,,54,28,0.659,5.0,106.7,102.8,4.44,Portland Trail Blazers*,Portland Trail Blazers*,2014
2,,40,42,0.488,19.0,106.9,104.3,3.1,Minnesota Timberwolves,Minnesota Timberwolves,2014
3,,36,46,0.439,23.0,104.4,106.5,-1.4,Denver Nuggets,Denver Nuggets,2014
4,,25,57,0.305,34.0,95.0,102.2,-6.27,Utah Jazz,Utah Jazz,2014
5,,57,25,0.695,—,107.9,101.0,7.27,Los Angeles Clippers*,Los Angeles Clippers*,2014
6,,51,31,0.622,6.0,104.3,99.5,5.15,Golden State Warriors*,Golden State Warriors*,2014
7,,48,34,0.585,9.0,105.2,102.6,3.02,Phoenix Suns,Phoenix Suns,2014
8,,28,54,0.341,29.0,100.5,103.4,-2.08,Sacramento Kings,Sacramento Kings,2014
9,,27,55,0.329,30.0,103.0,109.2,-5.33,Los Angeles Lakers,Los Angeles Lakers,2014
10,,62,20,0.756,—,105.4,97.6,8.0,San Antonio Spurs*,San Antonio Spurs*,2014
11,,54,28,0.659,8.0,107.7,103.1,5.06,Houston Rockets*,Houston Rockets*,2014
12,,50,32,0.61,12.0,96.1,94.6,2.18,Memphis Grizzlies*,Memphis Grizzlies*,2014
13,,49,33,0.598,13.0,104.8,102.4,2.91,Dallas Mavericks*,Dallas Mavericks*,2014
14,,34,48,0.415,28.0,99.7,102.4,-1.98,New Orleans Pelicans,New Orleans Pelicans,2014
0,Toronto Raptors*,49,33,0.598,—,104.0,100.9,2.45,,Toronto Raptors*,2015
1,Boston Celtics*,40,42,0.488,9.0,101.4,101.2,-0.4,,Boston Celtics*,2015
2,Brooklyn Nets*,38,44,0.463,11.0,98.0,100.9,-3.13,,Brooklyn Nets*,2015
3,Philadelphia 76ers,18,64,0.22,31.0,92.0,101.0,-9.04,,Philadelphia 76ers,2015
4,New York Knicks,17,65,0.207,32.0,91.9,101.2,-9.5,,New York Knicks,2015
5,Cleveland Cavaliers*,53,29,0.646,—,103.1,98.7,4.08,,Cleveland Cavaliers*,2015
6,Chicago Bulls*,50,32,0.61,3.0,100.8,97.8,2.54,,Chicago Bulls*,2015
7,Milwaukee Bucks*,41,41,0.5,12.0,97.8,97.4,-0.09,,Milwaukee Bucks*,2015
8,Indiana Pacers,38,44,0.463,15.0,97.3,97.0,-0.23,,Indiana Pacers,2015
9,Detroit Pistons,32,50,0.39,21.0,98.5,99.5,-1.39,,Detroit Pistons,2015
10,Atlanta Hawks*,60,22,0.732,—,102.5,97.1,4.75,,Atlanta Hawks*,2015
11,Washington Wizards*,46,36,0.561,14.0,98.5,97.8,0.17,,Washington Wizards*,2015
12,Miami Heat,37,45,0.451,23.0,94.7,97.3,-2.92,,Miami Heat,2015
13,Charlotte Hornets,33,49,0.402,27.0,94.2,97.3,-3.44,,Charlotte Hornets,2015
14,Orlando Magic,25,57,0.305,35.0,95.7,101.4,-5.87,,Orlando Magic,2015
0,,51,31,0.622,—,102.8,98.6,4.41,Portland Trail Blazers*,Portland Trail Blazers*,2015
1,,45,37,0.549,6.0,104.0,101.8,2.47,Oklahoma City Thunder,Oklahoma City Thunder,2015
2,,38,44,0.463,13.0,95.1,94.9,0.71,Utah Jazz,Utah Jazz,2015
3,,30,52,0.366,21.0,101.5,105.0,-3.07,Denver Nuggets,Denver Nuggets,2015
4,,16,66,0.195,35.0,97.8,106.5,-8.0,Minnesota Timberwolves,Minnesota Timberwolves,2015
5,,67,15,0.817,—,110.0,99.9,10.01,Golden State Warriors*,Golden State Warriors*,2015
6,,56,26,0.683,11.0,106.7,100.1,6.8,Los Angeles Clippers*,Los Angeles Clippers*,2015
7,,39,43,0.476,28.0,102.4,103.3,-0.38,Phoenix Suns,Phoenix Suns,2015
8,,29,53,0.354,38.0,101.3,105.0,-3.07,Sacramento Kings,Sacramento Kings,2015
9,,21,61,0.256,46.0,98.5,105.3,-6.17,Los Angeles Lakers,Los Angeles Lakers,2015
10,,56,26,0.683,—,103.9,100.5,3.82,Houston Rockets*,Houston Rockets*,2015
11,,55,27,0.671,1.0,98.3,95.1,3.62,Memphis Grizzlies*,Memphis Grizzlies*,2015
12,,55,27,0.671,1.0,103.2,97.0,6.34,San Antonio Spurs*,San Antonio Spurs*,2015
13,,50,32,0.61,6.0,105.2,102.3,3.36,Dallas Mavericks*,Dallas Mavericks*,2015
14,,45,37,0.549,11.0,99.4,98.6,1.13,New Orleans Pelicans*,New Orleans Pelicans*,2015
0,Toronto Raptors*,56,26,0.683,—,102.7,98.2,4.08,,Toronto Raptors*,2016
1,Boston Celtics*,48,34,0.585,8.0,105.7,102.5,2.84,,Boston Celtics*,2016
2,New York Knicks,32,50,0.39,24.0,98.4,101.1,-2.74,,New York Knicks,2016
