,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Conference,year
3,Brooklyn Nets,21,61,0.256,35.0,98.6,106.0,-7.12,,Brooklyn Nets,2016
4,Philadelphia 76ers,10,72,0.122,46.0,97.4,107.6,-9.92,,Philadelphia 76ers,2016
5,Cleveland Cavaliers*,57,25,0.695,—,104.3,98.3,5.45,,Cleveland Cavaliers*,2016
6,Indiana Pacers*,45,37,0.549,12.0,102.2,100.5,1.62,,Indiana Pacers*,2016
7,Detroit Pistons*,44,38,0.537,13.0,102.0,101.4,0.43,,Detroit Pistons*,2016
8,Chicago Bulls,42,40,0.512,15.0,101.6,103.1,-1.46,,Chicago Bulls,2016
9,Milwaukee Bucks,33,49,0.402,24.0,99.0,103.2,-3.98,,Milwaukee Bucks,2016
10,Miami Heat*,48,34,0.585,—,100.0,98.4,1.5,,Miami Heat*,2016
11,Atlanta Hawks*,48,34,0.585,—,102.8,99.2,3.49,,Atlanta Hawks*,2016
12,Charlotte Hornets*,48,34,0.585,—,103.4,100.7,2.36,,Charlotte Hornets*,2016
13,Washington Wizards,41,41,0.5,7.0,104.1,104.6,-0.5,,Washington Wizards,2016
14,Orlando Magic,35,47,0.427,13.0,102.1,103.7,-1.68,,Orlando Magic,2016
0,,55,27,0.671,—,110.2,102.9,7.09,Oklahoma City Thunder*,Oklahoma City Thunder*,2016
1,,44,38,0.537,11.0,105.1,104.3,0.98,Portland Trail Blazers*,Portland Trail Blazers*,2016
2,,40,42,0.488,15.0,97.7,95.9,1.84,Utah Jazz,Utah Jazz,2016
3,,33,49,0.402,22.0,101.9,105.0,-2.81,Denver Nuggets,Denver Nuggets,2016
4,,29,53,0.354,26.0,102.4,106.0,-3.38,Minnesota Timberwolves,Minnesota Timberwolves,2016
5,,73,9,0.89,—,114.9,104.1,10.38,Golden State Warriors*,Golden State Warriors*,2016
6,,53,29,0.646,20.0,104.5,100.2,4.13,Los Angeles Clippers*,Los Angeles Clippers*,2016
7,,33,49,0.402,40.0,106.6,109.1,-2.32,Sacramento Kings,Sacramento Kings,2016
8,,23,59,0.28,50.0,100.9,107.5,-6.32,Phoenix Suns,Phoenix Suns,2016
9,,17,65,0.207,56.0,97.3,106.9,-8.92,Los Angeles Lakers,Los Angeles Lakers,2016
10,,67,15,0.817,—,103.5,92.9,10.28,San Antonio Spurs*,San Antonio Spurs*,2016
11,,42,40,0.512,25.0,102.3,102.6,-0.02,Dallas Mavericks*,Dallas Mavericks*,2016
12,,42,40,0.512,25.0,99.1,101.3,-2.14,Memphis Grizzlies*,Memphis Grizzlies*,2016
13,,41,41,0.5,26.0,106.5,106.4,0.34,Houston Rockets*,Houston Rockets*,2016
14,,30,52,0.366,37.0,102.7,106.5,-3.56,New Orleans Pelicans,New Orleans Pelicans,2016
0,Boston Celtics*,53,29,0.646,—,108.0,105.4,2.25,,Boston Celtics*,2017
1,Toronto Raptors*,51,31,0.622,2.0,106.9,102.6,3.65,,Toronto Raptors*,2017
2,New York Knicks,31,51,0.378,22.0,104.3,108.0,-3.87,,New York Knicks,2017
3,Philadelphia 76ers,28,54,0.341,25.0,102.4,108.1,-5.83,,Philadelphia 76ers,2017
4,Brooklyn Nets,20,62,0.244,33.0,105.8,112.5,-6.74,,Brooklyn Nets,2017
5,Cleveland Cavaliers*,51,31,0.622,—,110.3,107.2,2.87,,Cleveland Cavaliers*,2017
6,Milwaukee Bucks*,42,40,0.512,9.0,103.6,103.8,-0.45,,Milwaukee Bucks*,2017
7,Indiana Pacers*,42,40,0.512,9.0,105.1,105.3,-0.64,,Indiana Pacers*,2017
8,Chicago Bulls*,41,41,0.5,10.0,102.9,102.4,0.03,,Chicago Bulls*,2017
9,Detroit Pistons,37,45,0.451,14.0,101.3,102.5,-1.29,,Detroit Pistons,2017
10,Washington Wizards*,49,33,0.598,—,109.2,107.4,1.36,,Washington Wizards*,2017
11,Atlanta Hawks*,43,39,0.524,6.0,103.2,104.0,-1.23,,Atlanta Hawks*,2017
12,Miami Heat,41,41,0.5,8.0,103.2,102.1,0.77,,Miami Heat,2017
13,Charlotte Hornets,36,46,0.439,13.0,104.9,104.7,-0.07,,Charlotte Hornets,2017
14,Orlando Magic,29,53,0.354,20.0,101.1,107.6,-6.61,,Orlando Magic,2017
0,,51,31,0.622,—,100.7,96.8,4.0,Utah Jazz*,Utah Jazz*,2017
1,,47,35,0.573,4.0,106.6,105.8,1.14,Oklahoma City Thunder*,Oklahoma City Thunder*,2017
2,,41,41,0.5,10.0,107.9,108.5,-0.23,Portland Trail Blazers*,Portland Trail Blazers*,2017
3,,40,42,0.488,11.0,111.7,111.2,0.7,Denver Nuggets,Denver Nuggets,2017
4,,31,51,0.378,20.0,105.6,106.7,-0.64,Minnesota Timberwolves,Minnesota Timberwolves,2017
5,,67,15,0.817,—,115.9,104.3,11.35,Golden State Warriors*,Golden State Warriors*,2017
6,,51,31,0.622,16.0,108.7,104.4,4.42,Los Angeles Clippers*,Los Angeles Clippers*,2017
7,,32,50,0.39,35.0,102.8,106.7,-3.29,Sacramento Kings,Sacramento Kings,2017
8,,26,56,0.317,41.0,104.6,111.5,-6.29,Los Angeles Lakers,Los Angeles Lakers,2017
9,,24,58,0.293,43.0,107.7,113.3,-5.14,Phoenix Suns,Phoenix Suns,2017
10,,61,21,0.744,—,105.3,98.1,7.13,San Antonio Spurs*,San Antonio Spurs*,2017
11,,55,27,0.671,6.0,115.3,109.6,5.84,Houston Rockets*,Houston Rockets*,2017
12,,43,39,0.524,18.0,100.5,100.0,0.96,Memphis Grizzlies*,Memphis Grizzlies*,2017
13,,34,48,0.415,27.0,104.3,106.4,-1.69,New Orleans Pelicans,New Orleans Pelicans,2017
14,,33,49,0.402,28.0,97.9,100.8,-2.53,Dallas Mavericks,Dallas Mavericks,2017
0,Toronto Raptors*,59,23,0.72,—,111.7,103.9,7.29,,Toronto Raptors*,2018
1,Boston Celtics*,55,27,0.671,4.0,104.0,100.4,3.23,,Boston Celtics*,2018
2,Philadelphia 76ers*,52,30,0.634,7.0,109.8,105.3,4.3,,Philadelphia 76ers*,2018
3,New York Knicks,29,53,0.354,30.0,104.5,108.0,-3.53,,New York Knicks,2018
4,Brooklyn Nets,28,54,0.341,31.0,106.6,110.3,-3.67,,Brooklyn Nets,2018
5,Cleveland Cavaliers*,50,32,0.61,—,110.9,109.9,0.59,,Cleveland Cavaliers*,2018
6,Indiana Pacers*,48,34,0.585,2.0,105.6,104.2,1.18,,Indiana Pacers*,2018
7,Milwaukee Bucks*,44,38,0.537,6.0,106.5,106.8,-0.45,,Milwaukee Bucks*,2018
8,Detroit Pistons,39,43,0.476,11.0,103.8,103.9,-0.26,,Detroit Pistons,2018
9,Chicago Bulls,27,55,0.329,23.0,102.9,110.0,-6.84,,Chicago Bulls,2018
10,Miami Heat*,44,38,0.537,—,103.4,102.9,0.15,,Miami Heat*,2018
11,Washington Wizards*,43,39,0.524,1.0,106.6,106.0,0.53,,Washington Wizards*,2018
12,Charlotte Hornets,36,46,0.439,8.0,108.2,108.0,0.07,,Charlotte Hornets,2018
13,Orlando Magic,25,57,0.305,19.0,103.4,108.2,-4.92,,Orlando Magic,2018
14,Atlanta Hawks,24,58,0.293,20.0,103.4,108.8,-5.3,,Atlanta Hawks,2018
0,,49,33,0.598,—,105.6,103.0,2.6,Portland Trail Blazers*,Portland Trail Blazers*,2018
1,,48,34,0.585,1.0,107.9,104.4,3.42,Oklahoma City Thunder*,Oklahoma City Thunder*,2018
2,,48,34,0.585,1.0,104.1,99.8,4.47,Utah Jazz*,Utah Jazz*,2018
3,,47,35,0.573,2.0,109.5,107.3,2.35,Minnesota Timberwolves*,Minnesota Timberwolves*,2018
4,,46,36,0.561,3.0,110.0,108.5,1.57,Denver Nuggets,Denver Nuggets,2018
5,,58,24,0.707,—,113.5,107.5,5.79,Golden State Warriors*,Golden State Warriors*,2018
6,,42,40,0.512,16.0,109.0,109.0,0.15,Los Angeles Clippers,Los Angeles Clippers,2018
7,,35,47,0.427,23.0,108.1,109.6,-1.44,Los Angeles Lakers,Los Angeles Lakers,2018
8,,27,55,0.329,31.0,98.8,105.8,-6.6,Sacramento Kings,Sacramento Kings,2018
9,,21,61,0.256,37.0,103.9,113.3,-8.8,Phoenix Suns,Phoenix Suns,2018
10,,65,17,0.793,—,112.4,103.9,8.21,Houston Rockets*,Houston Rockets*,2018
11,,48,34,0.585,17.0,111.7,110.4,1.48,New Orleans Pelicans*,New Orleans Pelicans*,2018
12,,47,35,0.573,18.0,102.7,99.8,2.89,San Antonio Spurs*,San Antonio Spurs*,2018
13,,24,58,0.293,41.0,102.3,105.4,-2.7,Dallas Mavericks,Dallas Mavericks,2018
14,,22,60,0.268,43.0,99.3,105.5,-5.81,Memphis Grizzlies,Memphis Grizzlies,2018
0,Toronto Raptors*,58,24,0.707,—,114.4,108.4,5.49,,Toronto Raptors*,2019
1,Philadelphia 76ers*,51,31,0.622,7.0,115.2,112.5,2.25,,Philadelphia 76ers*,2019
2,Boston Celtics*,49,33,0.598,9.0,112.4,108.0,3.9,,Boston Celtics*,2019
3,Brooklyn Nets*,42,40,0.512,16.0,112.2,112.3,-0.4,,Brooklyn Nets*,2019
4,New York Knicks,17,65,0.207,41.0,104.6,113.8,-8.93,,New York Knicks,2019
5,Milwaukee Bucks*,60,22,0.732,—,118.1,109.3,8.04,,Milwaukee Bucks*,2019
6,Indiana Pacers*,48,34,0.585,12.0,108.0,104.7,2.76,,Indiana Pacers*,2019
7,Detroit Pistons*,41,41,0.5,19.0,107.0,107.3,-0.56,,Detroit Pistons*,2019
8,Chicago Bulls,22,60,0.268,38.0,104.9,113.4,-8.32,,Chicago Bulls,2019
9,Cleveland Cavaliers,19,63,0.232,41.0,104.5,114.1,-9.39,,Cleveland Cavaliers,2019
10,Orlando Magic*,42,40,0.512,—,107.3,106.6,0.28,,Orlando Magic*,2019
11,Charlotte Hornets,39,43,0.476,3.0,110.7,111.8,-1.32,,Charlotte Hornets,2019
12,Miami Heat,39,43,0.476,3.0,105.7,105.9,-0.45,,Miami Heat,2019
13,Washington Wizards,32,50,0.39,10.0,114.0,116.9,-3.3,,Washington Wizards,2019
14,Atlanta Hawks,29,53,0.354,13.0,113.3,119.4,-6.06,,Atlanta Hawks,2019
0,,54,28,0.659,—,110.7,106.7,4.19,Denver Nuggets*,Denver Nuggets*,2019
1,,53,29,0.646,1.0,114.7,110.5,4.43,Portland Trail Blazers*,Portland Trail Blazers*,2019
2,,50,32,0.61,4.0,111.7,106.5,5.28,Utah Jazz*,Utah Jazz*,2019
3,,49,33,0.598,5.0,114.5,111.1,3.56,Oklahoma City Thunder*,Oklahoma City Thunder*,2019
4,,36,46,0.439,18.0,112.5,114.0,-1.02,Minnesota Timberwolves,Minnesota Timberwolves,2019
5,,57,25,0.695,—,117.7,111.2,6.42,Golden State Warriors*,Golden State Warriors*,2019
6,,48,34,0.585,9.0,115.1,114.3,1.09,Los Angeles Clippers*,Los Angeles Clippers*,2019
7,,39,43,0.476,18.0,114.2,115.3,-0.81,Sacramento Kings,Sacramento Kings,2019
8,,37,45,0.451,20.0,111.8,113.5,-1.33,Los Angeles Lakers,Los Angeles Lakers,2019
9,,19,63,0.232,38.0,107.5,116.8,-8.61,Phoenix Suns,Phoenix Suns,2019
10,,53,29,0.646,—,113.9,109.1,4.96,Houston Rockets*,Houston Rockets*,2019
11,,48,34,0.585,5.0,111.7,110.0,1.8,San Antonio Spurs*,San Antonio Spurs*,2019
12,,33,49,0.402,20.0,103.5,106.1,-2.08,Memphis Grizzlies,Memphis Grizzlies,2019
13,,33,49,0.402,20.0,115.4,116.8,-1.1,New Orleans Pelicans,New Orleans Pelicans,2019
14,,33,49,0.402,20.0,108.9,110.1,-0.87,Dallas Mavericks,Dallas Mavericks,2019
0,Toronto Raptors*,53,19,0.736,—,112.8,106.5,5.97,,Toronto Raptors*,2020
1,Boston Celtics*,48,24,0.667,5.0,113.7,107.3,5.83,,Boston Celtics*,2020
2,Philadelphia 76ers*,43,30,0.589,10.5,110.7,108.4,2.25,,Philadelphia 76ers*,2020
3,Brooklyn Nets*,35,37,0.486,18.0,111.8,112.3,-1.01,,Brooklyn Nets*,2020
4,New York Knicks,21,45,0.318,29.0,105.8,112.3,-6.72,,New York Knicks,2020
5,Milwaukee Bucks*,56,17,0.767,—,118.7,108.6,9.41,,Milwaukee Bucks*,2020
6,Indiana Pacers*,45,28,0.616,11.0,109.4,107.5,1.63,,Indiana Pacers*,2020
7,Chicago Bulls,22,43,0.338,30.0,106.8,109.9,-4.0,,Chicago Bulls,2020
8,Detroit Pistons,20,46,0.303,32.5,107.2,110.8,-4.38,,Detroit Pistons,2020
9,Cleveland Cavaliers,19,46,0.292,33.0,106.9,114.8,-7.77,,Cleveland Cavaliers,2020
10,Miami Heat*,44,29,0.603,—,112.0,109.1,2.59,,Miami Heat*,2020
11,Orlando Magic*,33,40,0.452,11.0,107.3,108.3,-0.93,,Orlando Magic*,2020
12,Charlotte Hornets,23,42,0.354,17.0,102.9,109.6,-7.03,,Charlotte Hornets,2020
13,Washington Wizards,25,47,0.347,18.5,114.4,119.1,-5.24,,Washington Wizards,2020
14,Atlanta Hawks,20,47,0.299,21.0,111.8,119.7,-7.71,,Atlanta Hawks,2020
0,,46,27,0.63,—,111.3,109.2,2.35,Denver Nuggets*,Denver Nuggets*,2020
1,,44,28,0.611,1.5,110.4,108.4,2.33,Oklahoma City Thunder*,Oklahoma City Thunder*,2020
2,,44,28,0.611,1.5,111.3,108.8,2.52,Utah Jazz*,Utah Jazz*,2020
3,,35,39,0.473,11.5,115.0,116.1,-0.61,Portland Trail Blazers*,Portland Trail Blazers*,2020
4,,19,45,0.297,22.5,113.3,117.5,-4.02,Minnesota Timberwolves,Minnesota Timberwolves,2020
5,,52,19,0.732,—,113.4,107.6,6.28,Los Angeles Lakers*,Los Angeles Lakers*,2020
6,,49,23,0.681,3.5,116.3,109.9,6.66,Los Angeles Clippers*,Los Angeles Clippers*,2020
7,,34,39,0.466,19.0,113.6,113.4,0.56,Phoenix Suns,Phoenix Suns,2020
8,,31,41,0.431,21.5,110.1,112.1,-1.59,Sacramento Kings,Sacramento Kings,2020
9,,15,50,0.231,34.0,106.3,115.0,-8.12,Golden State Warriors,Golden State Warriors,2020
10,,44,28,0.611,—,117.8,114.8,3.13,Houston Rockets*,Houston Rockets*,2020
11,,43,32,0.573,2.5,117.0,112.1,4.87,Dallas Mavericks*,Dallas Mavericks*,2020
12,,34,39,0.466,10.5,112.6,113.7,-0.91,Memphis Grizzlies,Memphis Grizzlies,2020
13,,32,39,0.451,11.5,114.1,115.2,-0.65,San Antonio Spurs,San Antonio Spurs,2020
14,,30,42,0.417,14.0,115.8,117.1,-0.55,New Orleans Pelicans,New Orleans Pelicans,2020
0,Philadelphia 76ers*,49,23,0.681,—,113.6,108.1,5.28,,Philadelphia 76ers*,2021
1,Brooklyn Nets*,48,24,0.667,1.0,118.6,114.1,4.24,,Brooklyn Nets*,2021
2,New York Knicks*,41,31,0.569,8.0,107.0,104.7,2.13,,New York Knicks*,2021
3,Boston Celtics*,36,36,0.5,13.0,112.6,111.2,1.32,,Boston Celtics*,2021
4,Toronto Raptors,27,45,0.375,22.0,111.3,111.7,-0.54,,Toronto Raptors,2021
5,Milwaukee Bucks*,46,26,0.639,—,120.1,114.2,5.57,,Milwaukee Bucks*,2021
6,Indiana Pacers,34,38,0.472,12.0,115.3,115.3,-0.13,,Indiana Pacers,2021
7,Chicago Bulls,31,41,0.431,15.0,110.7,111.6,-0.94,,Chicago Bulls,2021
8,Cleveland Cavaliers,22,50,0.306,24.0,103.8,112.3,-8.19,,Cleveland Cavaliers,2021
9,Detroit Pistons,20,52,0.278,26.0,106.6,111.1,-4.38,,Detroit Pistons,2021
10,Atlanta Hawks*,41,31,0.569,—,113.7,111.4,2.14,,Atlanta Hawks*,2021
11,Miami Heat*,40,32,0.556,1.0,108.1,108.0,-0.06,,Miami Heat*,2021
12,Washington Wizards*,34,38,0.472,7.0,116.6,118.5,-1.85,,Washington Wizards*,2021
13,Charlotte Hornets,33,39,0.458,8.0,109.5,111.4,-1.94,,Charlotte Hornets,2021
14,Orlando Magic,21,51,0.292,20.0,104.0,113.3,-9.02,,Orlando Magic,2021
0,,52,20,0.722,—,116.4,107.2,8.97,Utah Jazz*,Utah Jazz*,2021
1,,47,25,0.653,5.0,115.1,110.1,4.82,Denver Nuggets*,Denver Nuggets*,2021
2,,42,30,0.583,10.0,116.1,114.3,1.81,Portland Trail Blazers*,Portland Trail Blazers*,2021
3,,23,49,0.319,29.0,112.1,117.7,-5.25,Minnesota Timberwolves,Minnesota Timberwolves,2021
4,,22,50,0.306,30.0,105.0,115.6,-10.13,Oklahoma City Thunder,Oklahoma City Thunder,2021
5,,51,21,0.708,—,115.3,109.5,5.67,Phoenix Suns*,Phoenix Suns*,2021
6,,47,25,0.653,4.0,114.0,107.8,6.02,Los Angeles Clippers*,Los Angeles Clippers*,2021
7,,42,30,0.583,9.0,109.5,106.8,2.77,Los Angeles Lakers*,Los Angeles Lakers*,2021
8,,39,33,0.542,12.0,113.7,112.7,1.1,Golden State Warriors,Golden State Warriors,2021
9,,31,41,0.431,20.0,113.7,117.4,-3.45,Sacramento Kings,Sacramento Kings,2021
10,,42,30,0.583,—,112.4,110.2,2.26,Dallas Mavericks*,Dallas Mavericks*,2021
11,,38,34,0.528,4.0,113.3,112.3,1.07,Memphis Grizzlies*,Memphis Grizzlies*,2021
12,,33,39,0.458,9.0,111.1,112.8,-1.58,San Antonio Spurs,San Antonio Spurs,2021
13,,31,41,0.431,11.0,114.6,114.9,-0.2,New Orleans Pelicans,New Orleans Pelicans,2021
14,,17,55,0.236,25.0,108.8,116.7,-7.5,Houston Rockets,Houston Rockets,2021
0,Boston Celtics*,51,31,0.622,—,111.8,104.5,7.02,,Boston Celtics*,2022
1,Philadelphia 76ers*,51,31,0.622,—,109.9,107.3,2.57,,Philadelphia 76ers*,2022
2,Toronto Raptors*,48,34,0.585,3.0,109.4,107.1,2.38,,Toronto Raptors*,2022
3,Brooklyn Nets*,44,38,0.537,7.0,112.9,112.1,0.82,,Brooklyn Nets*,2022
4,New York Knicks,37,45,0.451,14.0,106.5,106.6,-0.01,,New York Knicks,2022
5,Milwaukee Bucks*,51,31,0.622,—,115.5,112.1,3.22,,Milwaukee Bucks*,2022
6,Chicago Bulls*,46,36,0.561,5.0,111.6,112.0,-0.38,,Chicago Bulls*,2022
7,Cleveland Cavaliers,44,38,0.537,7.0,107.8,105.7,2.04,,Cleveland Cavaliers,2022
8,Indiana Pacers,25,57,0.305,26.0,111.5,114.9,-3.26,,Indiana Pacers,2022
9,Detroit Pistons,23,59,0.28,28.0,104.8,112.5,-7.36,,Detroit Pistons,2022
10,Miami Heat*,53,29,0.646,—,110.0,105.6,4.23,,Miami Heat*,2022
11,Atlanta Hawks*,43,39,0.524,10.0,113.9,112.4,1.55,,Atlanta Hawks*,2022
12,Charlotte Hornets,43,39,0.524,10.0,115.3,114.9,0.53,,Charlotte Hornets,2022
13,Washington Wizards,35,47,0.427,18.0,108.6,112.0,-3.23,,Washington Wizards,2022
14,Orlando Magic,22,60,0.268,31.0,104.2,112.2,-7.67,,Orlando Magic,2022
0,,49,33,0.598,—,113.6,107.6,5.67,Utah Jazz*,Utah Jazz*,2022
1,,48,34,0.585,1.0,112.7,110.4,2.16,Denver Nuggets*,Denver Nuggets*,2022
2,,46,36,0.561,3.0,115.9,113.3,2.53,Minnesota Timberwolves*,Minnesota Timberwolves*,2022
3,,27,55,0.329,22.0,106.2,115.1,-8.55,Portland Trail Blazers,Portland Trail Blazers,2022
4,,24,58,0.293,25.0,103.7,111.8,-7.9,Oklahoma City Thunder,Oklahoma City Thunder,2022
5,,64,18,0.78,—,114.8,107.3,6.94,Phoenix Suns*,Phoenix Suns*,2022
6,,53,29,0.646,11.0,111.0,105.5,5.52,Golden State Warriors*,Golden State Warriors*,2022
7,,42,40,0.512,22.0,108.4,108.4,0.09,Los Angeles Clippers,Los Angeles Clippers,2022
8,,33,49,0.402,31.0,112.1,115.1,-3.08,Los Angeles Lakers,Los Angeles Lakers,2022
9,,30,52,0.366,34.0,110.3,115.8,-5.26,Sacramento Kings,Sacramento Kings,2022
10,,56,26,0.683,—,115.6,109.9,5.37,Memphis Grizzlies*,Memphis Grizzlies*,2022
11,,52,30,0.634,4.0,108.0,104.7,3.12,Dallas Mavericks*,Dallas Mavericks*,2022
12,,36,46,0.439,20.0,109.3,110.3,-0.84,New Orleans Pelicans*,New Orleans Pelicans*,2022
13,,34,48,0.415,22.0,113.2,113.0,0.02,San Antonio Spurs,San Antonio Spurs,2022
14,,20,62,0.244,36.0,109.7,118.2,-8.26,Houston Rockets,Houston Rockets,2022
0,Boston Celtics* (2),57,25,0.695,—,117.9,111.4,6.38,,Boston Celtics* (2),2023
1,Philadelphia 76ers* (3),54,28,0.659,3.0,115.2,110.9,4.37,,Philadelphia 76ers* (3),2023
2,New York Knicks* (5),47,35,0.573,10.0,116.0,113.1,2.99,,New York Knicks* (5),2023
3,Brooklyn Nets* (6),45,37,0.549,12.0,113.4,112.5,1.03,,Brooklyn Nets* (6),2023
4,Toronto Raptors* (9),41,41,0.5,16.0,112.9,111.4,1.59,,Toronto Raptors* (9),2023
5,Milwaukee Bucks* (1),58,24,0.707,—,116.9,113.3,3.61,,Milwaukee Bucks* (1),2023
6,Cleveland Cavaliers* (4),51,31,0.622,7.0,112.3,106.9,5.23,,Cleveland Cavaliers* (4),2023
7,Chicago Bulls* (10),40,42,0.488,18.0,113.1,111.8,1.37,,Chicago Bulls* (10),2023
8,Indiana Pacers (11),35,47,0.427,23.0,116.3,119.5,-2.91,,Indiana Pacers (11),2023
9,Detroit Pistons (15),17,65,0.207,41.0,110.3,118.5,-7.73,,Detroit Pistons (15),2023
10,Miami Heat* (7),44,38,0.537,—,109.5,109.8,-0.13,,Miami Heat* (7),2023
11,Atlanta Hawks* (8),41,41,0.5,3.0,118.4,118.1,0.32,,Atlanta Hawks* (8),2023
12,Washington Wizards (12),35,47,0.427,9.0,113.2,114.4,-1.06,,Washington Wizards (12),2023
13,Orlando Magic (13),34,48,0.415,10.0,111.4,114.0,-2.39,,Orlando Magic (13),2023
14,Charlotte Hornets (14),27,55,0.329,17.0,111.0,117.2,-5.89,,Charlotte Hornets (14),2023
0,,53,29,0.646,—,115.8,112.5,3.04,Denver Nuggets* (1),Denver Nuggets* (1),2023
1,,42,40,0.512,11.0,115.8,115.8,-0.22,Minnesota Timberwolves* (8),Minnesota Timberwolves* (8),2023
2,,40,42,0.488,13.0,117.5,116.4,0.96,Oklahoma City Thunder* (10),Oklahoma City Thunder* (10),2023
3,,37,45,0.451,16.0,117.1,118.0,-1.03,Utah Jazz (12),Utah Jazz (12),2023
4,,33,49,0.402,20.0,113.4,117.4,-3.96,Portland Trail Blazers (13),Portland Trail Blazers (13),2023
5,,48,34,0.585,—,120.7,118.1,2.3,Sacramento Kings* (3),Sacramento Kings* (3),2023
6,,45,37,0.549,3.0,113.6,111.6,2.08,Phoenix Suns* (4),Phoenix Suns* (4),2023
7,,44,38,0.537,4.0,113.6,113.1,0.31,Los Angeles Clippers* (5),Los Angeles Clippers* (5),2023
8,,44,38,0.537,4.0,118.9,117.1,1.66,Golden State Warriors* (6),Golden State Warriors* (6),2023
9,,43,39,0.524,5.0,117.2,116.6,0.43,Los Angeles Lakers* (7),Los Angeles Lakers* (7),2023
10,,51,31,0.622,—,116.9,113.0,3.6,Memphis Grizzlies* (2),Memphis Grizzlies* (2),2023
11,,42,40,0.512,9.0,114.4,112.5,1.63,New Orleans Pelicans* (9),New Orleans Pelicans* (9),2023
12,,38,44,0.463,13.0,114.2,114.1,-0.14,Dallas Mavericks (11),Dallas Mavericks (11),2023
13,,22,60,0.268,29.0,110.7,118.6,-7.62,Houston Rockets (14),Houston Rockets (14),2023
14,,22,60,0.268,29.0,113.0,123.1,-9.82,San Antonio Spurs (15),San Antonio Spurs (15),2023
